"","state","county_name","county_fips","trump_share_2016","trump_share_2020","delta_share","z_delta","shift_flag"
"802","NEW YORK","ESSEX","36031",0.462190730630735,0.461016949152542,-0.00117378147819291,-0.675430056949359,"Within two standard deviations"
"803","MISSOURI","CASS","29037",0.64910766817023,0.647941053511706,-0.00116661465852375,-0.675181797521081,"Within two standard deviations"
"804","FLORIDA","LEON","12073",0.353778297794021,0.352625990462103,-0.00115230733191785,-0.674686190140496,"Within two standard deviations"
"805","IDAHO","ADAMS","16003",0.712780577187357,0.750580046403712,0.0377994692163555,0.674607669991148,"Within two standard deviations"
"806","MONTANA","BLAINE","30005",0.472429210134128,0.471286493423163,-0.00114271671096483,-0.6743539699669,"Within two standard deviations"
"807","NEW MEXICO","DONA ANA","35013",0.35916091042917,0.396921624859331,0.0377607144301613,0.673265199898733,"Within two standard deviations"
"808","UTAH","SUMMIT","49043",0.355263795358752,0.393007743617266,0.037743948258514,0.672684417853178,"Within two standard deviations"
"809","MISSISSIPPI","LEFLORE","28083",0.288330341113106,0.287248691820435,-0.00108164929267074,-0.672238587823644,"Within two standard deviations"
"810","WEST VIRGINIA","POCAHONTAS","54075",0.684585847504114,0.722305389221557,0.0377195417174427,0.671838972563318,"Within two standard deviations"
"811","NEBRASKA","GAGE","31067",0.634952229299363,0.672659920491507,0.037707691192144,0.671428469052519,"Within two standard deviations"
"812","ALABAMA","JACKSON","01071",0.79451010293557,0.832205110847859,0.0376950079122892,0.670989118831529,"Within two standard deviations"
"813","ILLINOIS","RANDOLPH","17157",0.706143440890517,0.743804982875562,0.0376615419850452,0.669829855399785,"Within two standard deviations"
"814","ILLINOIS","GALLATIN","17059",0.717399335057259,0.755048616305161,0.0376492812479019,0.669405142105189,"Within two standard deviations"
"815","TEXAS","GILLESPIE","48171",0.790525200544877,0.789526813880126,-0.000998386664750495,-0.669354361157063,"Within two standard deviations"
"816","OHIO","MAHONING","39099",0.465934371523915,0.503530420456265,0.0375960489323494,0.667561168789963,"Within two standard deviations"
"817","ILLINOIS","WHITESIDE","17195",0.493120162614338,0.530666666666667,0.0375465040523284,0.665844928650559,"Within two standard deviations"
"818","ILLINOIS","MCLEAN","17113",0.466424500532348,0.465529528056826,-0.000894972475521671,-0.665772082171559,"Within two standard deviations"
"819","NEW MEXICO","TAOS","35055",0.17870249017038,0.216227227751586,0.037524737581206,0.665090935676559,"Within two standard deviations"
"820","TENNESSEE","CANNON","47015",0.754045916447121,0.791520512429465,0.0374745959823438,0.663354025130309,"Within two standard deviations"
